Disease,Diet
Common Cold,"['Vitamin C rich foods (citrus fruits)', 'Hot soups and broths', 'Ginger tea', 'Garlic', 'Honey and lemon']"
Flu (Influenza),"['Clear broths', 'Hot tea with honey', 'Citrus fruits', 'Leafy greens', 'Lean proteins']"
COVID-19,"['High-protein foods', 'Vitamin C and D rich foods', 'Zinc-rich foods', 'Anti-inflammatory foods', 'Hydrating fluids']"
Asthma,"['Anti-inflammatory foods', 'Omega-3 rich fish', 'Vitamin D foods', 'Foods high in magnesium', 'Low-sodium options']"
Allergies,"['Local honey', 'Anti-inflammatory foods', 'Quercetin-rich foods', 'Probiotic-rich foods', 'Omega-3 fatty acids']"
Sinusitis,"['Spicy foods', 'Hot liquids', 'Anti-inflammatory foods', 'Vitamin A rich foods', 'Foods high in antioxidants']"
Bronchitis,"['Warm liquids', 'Vitamin C rich foods', 'Garlic', 'Ginger', 'Anti-inflammatory herbs']"
Pneumonia,"['High-protein foods', 'Vitamin C rich foods', 'Zinc-rich foods', 'Healthy fats', 'Clear broths']"
Tonsillitis,"['Soft, cool foods', 'Warm broths', 'Smoothies', 'Honey', 'Anti-inflammatory foods']"
Urinary Tract Infection,"['Cranberry juice', 'Probiotics', 'Vitamin C rich foods', 'Water-rich foods', 'Low-sugar diet']"
Kidney Stones,"['Low-oxalate foods', 'High water intake', 'Low-sodium foods', 'Citrus fruits', 'Limited animal protein']"
Appendicitis,"['Clear liquids', 'Low-fiber foods', 'Easy-to-digest foods', 'Bland diet', 'Small frequent meals']"
Diabetes,"['Low glycemic index foods', 'High-fiber foods', 'Lean proteins', 'Healthy fats', 'Non-starchy vegetables']"
Hypertension,"['DASH diet', 'Low-sodium foods', 'Potassium-rich foods', 'Whole grains', 'Lean proteins']"
Anemia,"['Iron-rich foods', 'Vitamin C rich foods', 'Vitamin B12 foods', 'Folate-rich foods', 'Lean red meat']"
Hypothyroidism,"['Iodine-rich foods', 'Selenium-rich foods', 'Iron-rich foods', 'Zinc-rich foods', 'Limited goitrogenic foods']"
Hyperthyroidism,"['Iodine-restricted diet', 'Anti-inflammatory foods', 'Calcium-rich foods', 'Iron-rich foods', 'Low-glycemic foods']"
Chickenpox,"['Soft, bland foods', 'Cool liquids', 'Vitamin A and C rich foods', 'Anti-inflammatory foods', 'Easy-to-digest foods']"
Measles,"['Vitamin A rich foods', 'High-protein foods', 'Soft, easy-to-swallow foods', 'Hydrating foods', 'Nutrient-dense foods']"
Dengue,"['High-fluid diet', 'Papaya leaf extract', 'High-protein foods', 'Iron-rich foods', 'Vitamin C rich foods']"
Malaria,"['High-protein foods', 'Iron-rich foods', 'Vitamin C rich foods', 'Easy-to-digest foods', 'Hydrating fluids']"
Typhoid,"['Soft, bland foods', 'Clear liquids', 'Low-fiber foods', 'Easy-to-digest carbohydrates', 'Probiotics']"
Gastroenteritis,"['BRAT diet', 'Clear liquids', 'Probiotics', 'Low-fiber foods', 'Electrolyte-rich foods']"
Irritable Bowel Syndrome,"['Low FODMAP diet', 'Fiber-rich foods', 'Probiotic foods', 'Small frequent meals', 'Avoid trigger foods']"
Peptic Ulcer,"['Anti-inflammatory foods', 'Probiotics', 'High-fiber foods', 'Low-acid foods', 'Avoid irritants']"
Arthritis,"['Anti-inflammatory foods', 'Omega-3 rich foods', 'Turmeric', 'Ginger', 'Mediterranean diet']"
Osteoporosis,"['Calcium-rich foods', 'Vitamin D foods', 'Magnesium-rich foods', 'Protein-rich foods', 'Limited sodium']"
Migraine,"['Low-tyramine foods', 'Anti-inflammatory foods', 'Magnesium-rich foods', 'Regular meals', 'Avoid trigger foods']"
Epilepsy,"['Ketogenic diet', 'Modified Atkins diet', 'Low glycemic index diet', 'High-fat foods', 'Adequate protein']"
Parkinson's Disease,"['Mediterranean diet', 'Antioxidant-rich foods', 'High-fiber foods', 'Omega-3 rich foods', 'Hydrating foods']"
Stroke,"['Mediterranean diet', 'Low-sodium foods', 'Potassium-rich foods', 'Whole grains', 'Lean proteins']"
Alzheimer's Disease,"['Mediterranean diet', 'Omega-3 rich foods', 'Antioxidant-rich foods', 'B-vitamin rich foods', 'Low-sugar foods']"
Hepatitis,"['High-protein foods', 'Complex carbohydrates', 'Low-fat foods', 'Vitamin-rich foods', 'Avoid alcohol']"
Liver Disease,"['Low-sodium foods', 'High-protein foods', 'Complex carbohydrates', 'Low-fat foods', 'Avoid alcohol']"
Celiac Disease,"['Gluten-free diet', 'High-fiber foods', 'Iron-rich foods', 'Calcium-rich foods', 'Vitamin D foods']"
Rheumatoid Arthritis,"['Anti-inflammatory diet', 'Omega-3 rich foods', 'Mediterranean diet', 'Antioxidant-rich foods', 'Limited processed foods']"
Psoriasis,"['Anti-inflammatory foods', 'Omega-3 rich foods', 'Vitamin D foods', 'Antioxidant-rich foods', 'Gluten-free options']"
Eczema,"['Anti-inflammatory foods', 'Omega-3 rich foods', 'Probiotics', 'Vitamin D foods', 'Low-dairy diet']"
Shingles,"['Vitamin B12 rich foods', 'Lysine-rich foods', 'Anti-inflammatory foods', 'Vitamin C rich foods', 'Immune-boosting foods']"
Hypoglycemia,"['Complex carbohydrates', 'Protein-rich foods', 'Frequent small meals', 'Low glycemic index foods', 'Healthy fats']"
Hyperglycemia,"['Low glycemic index foods', 'High-fiber foods', 'Lean proteins', 'Healthy fats', 'Limited refined carbs']"
Stress,"['Complex carbohydrates', 'Omega-3 rich foods', 'Magnesium-rich foods', 'Green tea', 'Dark chocolate']"
Vitamin D Deficiency,"['Fatty fish', 'Egg yolks', 'Fortified foods', 'Mushrooms', 'Vitamin D enriched dairy']"
Scabies,"['Anti-inflammatory foods', 'Vitamin C rich foods', 'Zinc-rich foods', 'Immune-boosting foods', 'Turmeric']"
Conjunctivitis,"['Vitamin A rich foods', 'Omega-3 rich foods', 'Zinc-rich foods', 'Anti-inflammatory foods', 'Hydrating foods']"
Vertigo,"['Low-sodium foods', 'Potassium-rich foods', 'Anti-inflammatory foods', 'Hydrating foods', 'Regular small meals']"
Otitis Media,"['Anti-inflammatory foods', 'Immune-boosting foods', 'Vitamin C rich foods', 'Zinc-rich foods', 'Probiotics']"
Acne,"['Low glycemic index foods', 'Omega-3 rich foods', 'Zinc-rich foods', 'Antioxidant-rich foods', 'Probiotics']"
Cold Sore,"['Lysine-rich foods', 'Vitamin C rich foods', 'Zinc-rich foods', 'Immune-boosting foods', 'Low-arginine foods']"
Blister,"['Protein-rich foods', 'Vitamin C rich foods', 'Zinc-rich foods', 'Anti-inflammatory foods', 'Hydrating foods']"
Hives,"['Anti-inflammatory foods', 'Low-histamine foods', 'Quercetin-rich foods', 'Probiotics', 'Avoid trigger foods']"
Actinic Keratosis,"['Antioxidant-rich foods', 'Vitamin C rich foods', 'Beta-carotene foods', 'Omega-3 rich foods', 'Anti-inflammatory foods']"
Rosacea,"['Anti-inflammatory foods', 'Low-histamine foods', 'Omega-3 rich foods', 'Probiotics', 'Avoid trigger foods']"
Carbuncle,"['High-protein foods', 'Vitamin C rich foods', 'Zinc-rich foods', 'Anti-inflammatory foods', 'Probiotics']"
Latex Allergy,"['Anti-inflammatory foods', 'Quercetin-rich foods', 'Vitamin C rich foods', 'Omega-3 rich foods', 'Avoid cross-reactive foods']"
Cellulitis,"['High-protein foods', 'Vitamin C rich foods', 'Zinc-rich foods', 'Anti-inflammatory foods', 'Immune-boosting foods']"
Melasma,"['Antioxidant-rich foods', 'Vitamin C rich foods', 'Green tea', 'Anti-inflammatory foods', 'Hydrating foods']"
Basal Cell Carcinoma,"['Antioxidant-rich foods', 'Beta-carotene foods', 'Vitamin D foods', 'Anti-inflammatory foods', 'Green tea']"
Squamous Cell Carcinoma,"['Antioxidant-rich foods', 'Vitamin C rich foods', 'Beta-carotene foods', 'Anti-inflammatory foods', 'Green tea']"
Melanoma,"['Antioxidant-rich foods', 'Anti-inflammatory foods', 'Omega-3 rich foods', 'Green tea', 'Turmeric']"
Lupus,"['Anti-inflammatory foods', 'Omega-3 rich foods', 'Low-sodium foods', 'Calcium-rich foods', 'Vitamin D foods']"
Seborrheic Eczema,"['Anti-inflammatory foods', 'Omega-3 rich foods', 'Probiotics', 'Zinc-rich foods', 'Vitamin D foods']"
Keratosis Pilaris,"['Vitamin A rich foods', 'Omega-3 rich foods', 'Zinc-rich foods', 'Anti-inflammatory foods', 'Hydrating foods']"
Ringworm,"['Anti-fungal foods', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']"