Disease,Medication
Common Cold,"['Acetaminophen', 'Decongestants', 'Antihistamines', 'Cough suppressants', 'NSAIDs']"
Flu (Influenza),"['Oseltamivir', 'Zanamivir', 'Acetaminophen', 'NSAIDs', 'Decongestants']"
COVID-19,"['Antivirals', 'NSAIDs', 'Acetaminophen', 'Monoclonal antibodies', 'Corticosteroids']"
Asthma,"['Albuterol', 'Fluticasone', 'Budesonide', 'Montelukast', 'Ipratropium']"
Allergies,"['Cetirizine', 'Loratadine', 'Fexofenadine', 'Nasal corticosteroids', 'Decongestants']"
Sinusitis,"['Amoxicillin', 'Decongestants', 'Nasal corticosteroids', 'NSAIDs', 'Saline sprays']"
Bronchitis,"['Antibiotics', 'Bronchodilators', 'Cough suppressants', 'NSAIDs', 'Expectorants']"
Pneumonia,"['Antibiotics', 'Antiviral medications', 'NSAIDs', 'Cough medicine', 'Expectorants']"
Tonsillitis,"['Amoxicillin', 'Penicillin', 'NSAIDs', 'Acetaminophen', 'Local anesthetics']"
Urinary Tract Infection,"['Nitrofurantoin', 'Trimethoprim', 'Ciprofloxacin', 'Amoxicillin', 'Cephalexin']"
Kidney Stones,"['Pain relievers', 'Alpha blockers', 'Diuretics', 'Potassium citrate', 'NSAIDs']"
Appendicitis,"['Antibiotics', 'Pain medications', 'Anti-inflammatory drugs', 'Surgical intervention', 'Post-operative pain relief']"
Diabetes,"['Metformin', 'Insulin', 'Sulfonylureas', 'DPP-4 inhibitors', 'GLP-1 receptor agonists']"
Hypertension,"['ACE inhibitors', 'Beta blockers', 'Calcium channel blockers', 'Diuretics', 'ARBs']"
Anemia,"['Iron supplements', 'Vitamin B12', 'Folic acid', 'Erythropoietin', 'Blood transfusions']"
Hypothyroidism,"['Levothyroxine', 'Liothyronine', 'Thyroid hormone replacement', 'Synthetic T4', 'Combination therapy']"
Hyperthyroidism,"['Methimazole', 'Propylthiouracil', 'Beta blockers', 'Radioactive iodine', 'Anti-thyroid medications']"
Chickenpox,"['Acyclovir', 'Antihistamines', 'Calamine lotion', 'Pain relievers', 'Anti-itch medications']"
Measles,"['Vitamin A', 'Acetaminophen', 'NSAIDs', 'Antibiotics for complications', 'Supportive care']"
Dengue,"['Pain relievers', 'Fluid replacement', 'NSAIDs', 'Supportive care', 'Platelet transfusions']"
Malaria,"['Chloroquine', 'Artemisinin', 'Atovaquone', 'Primaquine', 'Doxycycline']"
Typhoid,"['Ciprofloxacin', 'Ceftriaxone', 'Azithromycin', 'Ampicillin', 'Trimethoprim-sulfamethoxazole']"
Gastroenteritis,"['Oral rehydration', 'Loperamide', 'Bismuth subsalicylate', 'Antibiotics', 'Anti-emetics']"
Irritable Bowel Syndrome,"['Antispasmodics', 'Fiber supplements', 'Anti-diarrheal medications', 'Antidepressants', 'Pain relievers']"
Peptic Ulcer,"['Proton pump inhibitors', 'H2 blockers', 'Antacids', 'Antibiotics', 'Bismuth subsalicylate']"
Arthritis,"['NSAIDs', 'Corticosteroids', 'DMARDs', 'Biologics', 'Pain relievers']"
Osteoporosis,"['Bisphosphonates', 'Denosumab', 'Calcium supplements', 'Vitamin D', 'Hormone therapy']"
Migraine,"['Triptans', 'NSAIDs', 'Anti-emetics', 'Beta blockers', 'Calcium channel blockers']"
Epilepsy,"['Carbamazepine', 'Valproic acid', 'Levetiracetam', 'Phenytoin', 'Lamotrigine']"
Parkinson's Disease,"['Levodopa', 'Carbidopa', 'Dopamine agonists', 'MAO-B inhibitors', 'Anticholinergics']"
Stroke,"['Blood thinners', 'Anti-platelet drugs', 'Statins', 'Blood pressure medications', 'tPA']"
Alzheimer's Disease,"['Donepezil', 'Memantine', 'Rivastigmine', 'Galantamine', 'Antipsychotics']"
Hepatitis,"['Antiviral medications', 'Interferon', 'Ribavirin', 'Nucleotide analogues', 'Supportive care']"
Liver Disease,"['Diuretics', 'Beta blockers', 'Lactulose', 'Antibiotics', 'Supplements']"
Celiac Disease,"['Nutritional supplements', 'Vitamin D', 'Iron supplements', 'Calcium supplements', 'B12 supplements']"
Rheumatoid Arthritis,"['DMARDs', 'Biologics', 'NSAIDs', 'Corticosteroids', 'JAK inhibitors']"
Psoriasis,"['Topical corticosteroids', 'Vitamin D analogues', 'Retinoids', 'Biologics', 'Phototherapy']"
Eczema,"['Topical corticosteroids', 'Immunomodulators', 'Antihistamines', 'Moisturizers', 'Topical antibiotics']"
Shingles,"['Acyclovir', 'Valacyclovir', 'Pain medications', 'Capsaicin', 'Anticonvulsants']"
Hypoglycemia,"['Glucose tablets', 'Glucagon', 'Dextrose', 'Complex carbohydrates', 'Emergency glucose']"
Hyperglycemia,"['Insulin', 'Oral diabetes medications', 'Fluid replacement', 'Electrolyte replacement', 'Emergency care']"
Stress,"['Anti-anxiety medications', 'Antidepressants', 'Beta blockers', 'Sleep aids', 'Natural supplements']"
Vitamin D Deficiency,"['Vitamin D3 supplements', 'Calcium supplements', 'Multivitamins', 'Prescription vitamin D', 'Injectable vitamin D']"